Vertex Number of Tree:1893
357 1616 -168.856020 -469.689300
598 70 -329.386020 -382.908000
833 267 240.789520 78.285140
888 476 -324.585480 396.942000
945 489 364.347380 -258.998260
989 530 458.210100 482.819800
1078 553 -346.133580 -276.447850
1736 1436 262.362700 -325.849980
248 1775 -12.578951 251.163310
470 309 -486.768370 -450.581270
651 328 -193.246580 73.093796
773 357 -110.776825 -499.458200
1246 497 -103.054810 -24.153645
1477 646 221.164340 251.540820
1779 749 -154.984710 -367.123930
1780 966 151.916350 415.755830
644 1235 199.689910 79.887010
857 1508 -10.880739 -251.635700
804 1698 -378.805420 -402.025970
966 54 466.186920 -115.236800
1442 181 -142.231630 -188.718280
1747 253 190.146400 -479.587830
1785 305 214.702120 361.514620
457 340 399.643700 184.023000
659 341 292.054350 -391.450870
1044 416 282.414460 -16.479267
1720 594 158.800200 424.559230
608 739 -491.256900 -37.008990
380 785 -195.980200 298.484770
493 855 -174.087220 -1.134418
650 1101 -340.165680 -351.667760
842 1202 -471.626770 484.889560
944 1244 226.149630 450.715240
962 1272 369.331100 407.951020
963 1314 343.869300 40.202435
968 1388 11.693693 -199.356860
1012 1432 461.088840 205.458180
1046 1438 429.773830 -28.530964
1306 1551 315.887000 -485.177400
1554 1615 -232.111330 359.886930
1581 1623 -180.320920 140.893420
1798 1636 37.965363 340.934100
156 1667 -433.299260 321.834630
528 1128 -304.511930 -187.045060
964 57 318.040740 -3.447010
1170 170 -428.397860 -57.999622
1538 171 12.743803 81.545270
159 345 -141.085450 7.752301
381 1326 343.856350 319.134920
474 245 -150.492130 -101.633194
1805 1004 -296.112640 -380.020170
377 1173 -94.088684 435.420000
476 1721 352.012300 347.147740
942 266 -290.751680 375.177280
984 347 -15.555483 44.719036
1605 354 173.507900 -371.302730
1644 367 -500.245480 -299.208300
1778 454 -459.137970 -29.178516
162 554 -357.483400 -247.073720
1810 688 80.179535 266.887120
1430 193 381.514250 -306.516570
383 202 499.362400 36.042890
887 301 332.838300 312.970860
1543 332 -348.143300 -8.666615
578 337 273.561300 331.429350
1825 549 368.668730 49.260174
494 560 -191.723050 411.053620
1718 706 279.440950 185.313220
178 725 -451.360800 317.655240
1015 797 299.621300 427.008270
1054 912 -254.856370 304.241550
1280 923 55.483734 222.253040
1765 963 170.740260 -373.103060
1214 990 -105.262760 398.405120
184 1310 197.470980 471.316800
359 1604 287.683440 -63.827015
382 273 430.175930 467.759920
465 424 362.363370 -177.449140
472 440 -34.585390 402.847560
478 449 36.857820 318.267060
558 521 329.098480 -301.447420
575 533 -287.117580 77.765120
661 534 412.934660 -278.114230
895 535 -222.952000 -306.475500
978 710 277.630770 13.200176
1264 809 219.628450 401.569120
1511 822 -480.087100 76.698900
1532 908 -474.590120 -118.701190
1841 917 10.760405 463.645780
1843 1092 -382.831900 310.318630
1879 1137 203.862640 496.941620
1363 1216 39.549103 93.731186
192 1239 -113.845980 135.144330
193 1296 -240.395870 -22.606250
221 1304 196.386500 154.673510
229 1417 -70.043274 -424.066220
231 1426 -26.951845 40.855633
1288 1427 -288.443400 -301.147300
1291 1538 9.539885 -278.370820
541 1603 -214.799320 241.839890
798 1767 -407.626560 -447.856700
1069 1768 494.479030 -174.545400
1439 1769 -222.745480 -235.852370
206 1770 -342.469880 -190.373730
1245 1776 218.267550 -69.014600
4 1777 -39.035034 -210.041490
1509 1796 6.979948 -132.834490
869 832 -493.451420 190.615340
877 289 -98.866150 -219.097030
1421 293 -480.298430 108.604416
1253 356 -473.301800 428.682650
220 418 448.612270 135.561750
1603 450 -377.598800 482.813320
1519 649 -316.273300 485.682700
1512 727 162.468660 316.104580
1254 733 -90.390564 392.231000
261 915 241.142610 -67.786730
510 674 -335.354900 400.098300
513 944 -68.341675 -174.131640
514 71 28.777800 -121.824326
522 106 -57.293060 144.099780
527 303 485.460540 -197.164440
530 677 -212.984950 -362.241030
531 678 -88.784546 -377.384400
537 861 349.521940 -457.966640
538 883 334.679840 -195.769790
546 1045 196.738680 -294.678280
554 1052 -423.258060 481.328520
556 1124 -295.776800 -2.249347
559 1223 134.345000 479.954930
562 1316 95.707670 273.776700
565 1765 -297.234200 -121.543200
566 1792 -214.733180 -62.266956
567 459 -455.349800 174.624560
235 544 -6.984010 466.842740
1218 635 -491.185360 79.137314
892 680 465.180330 83.136640
1093 765 -122.200900 -68.073350
1329 860 270.977800 133.875290
1330 258 380.384000 -253.139850
1331 399 71.609890 -360.509400
1336 326 -356.240750 -69.814896
240 551 -39.244200 -101.273700
241 1060 79.761380 -210.537280
242 322 -38.681700 2.569500
985 1083 -299.430180 52.261150
1382 427 -470.231400 -398.268800
245 269 -358.518400 -252.334920
246 841 -32.708190 296.846530
247 1006 231.858610 -31.300343
313 91 466.034940 -423.770230
475 320 300.069800 230.053330
249 516 -370.889680 312.933700
979 965 24.225248 363.026150
1840 682 -305.389860 451.026520
250 960 47.728240 148.416670
1882 1251 366.738560 -339.585900
251 1322 -232.854580 178.100880
1587 1393 111.270170 420.197780
254 1673 -330.376920 -242.654680
477 1788 7.893401 202.475020
482 1837 348.054400 12.436199
487 1840 -231.398250 171.650920
489 1842 354.427830 -248.006000
690 1843 329.144560 88.745346
939 1849 365.264560 45.383770
333 1859 499.652620 -84.157640
369 1865 227.779020 -72.080950
376 137 -479.095760 -47.254810
413 231 331.373200 120.097520
506 232 14.299528 206.060530
970 98 406.301060 156.894210
971 191 -263.537840 90.354050
974 327 289.818200 -136.821120
975 352 -246.510650 491.679900
977 559 419.855800 -317.388580
981 871 135.222260 -314.297580
983 934 -182.763730 -30.089985
986 1480 36.510590 -404.207370
988 126 99.673980 -9.826374
990 100 80.297390 400.894800
992 115 -365.719150 33.982220
994 208 286.450300 -441.376040
995 370 280.023700 -246.715230
996 1002 400.618200 -104.031204
998 1449 297.555820 -449.375120
1035 210 368.993620 -461.862850
344 417 -88.926820 -386.955660
1180 441 -122.287900 95.497970
1211 500 -304.679050 -27.958607
1213 556 329.721950 -290.765050
1284 577 430.603300 -207.748180
296 587 367.309420 268.243320
1341 675 319.625900 -55.941120
302 734 65.065460 352.963600
441 774 492.226840 -200.872390
1377 795 215.932040 236.261220
1386 819 -462.471500 102.897320
1388 839 -287.932740 -422.874850
583 853 397.769800 -275.642970
987 864 -117.378750 279.871860
312 920 334.053620 60.964580
1185 929 -207.885860 359.705100
1465 930 -168.527740 -114.636950
1466 931 -74.038635 -445.102720
931 932 249.549350 460.583400
1367 948 393.791530 -143.479140
1003 954 -256.336400 -178.285720
1067 973 -233.445530 88.572556
1530 988 484.096100 224.557110
324 1256 -69.982120 164.498030
813 1362 481.569670 -104.425400
318 1431 -114.896420 -329.462070
1171 1468 391.625340 382.479640
732 1568 254.614960 -18.019855
1240 107 -485.092860 1.100415
1393 307 366.259430 205.318160
1345 388 -163.596070 101.696760
761 563 173.470800 -142.521680
1599 576 353.921970 136.692120
335 585 -51.611725 342.694000
706 606 134.540680 -198.175950
716 884 -364.549100 -31.732716
1232 927 -492.472050 -155.994460
1418 992 -10.584108 452.374300
1609 993 -446.829130 481.728500
1476 1027 138.214320 -379.766270
499 1051 -420.798700 -232.370070
655 1055 8.904692 259.372100
730 1104 -410.024800 -362.120300
872 1105 134.090910 -89.616714
947 1107 -151.711790 -160.660930
1210 1108 -283.480260 -293.505860
1215 1116 -494.310270 402.976900
1234 1122 471.175450 243.412580
1289 1123 -65.618900 -159.179150
1299 1125 -312.959200 -139.652850
1595 1134 -167.737240 -216.241780
580 1141 154.795800 -356.247500
965 1143 392.420000 348.792500
1414 1144 92.075290 -72.730820
1636 1145 -170.685420 126.898120
1209 1146 -35.489440 54.488630
1453 1147 336.175200 316.407140
713 1148 148.629550 -304.408720
725 1149 111.557100 191.899580
1164 1150 -288.207180 64.565780
1342 1151 437.767500 -205.141860
1351 1152 194.694300 -29.363941
1364 1156 -80.170960 459.887420
1657 1157 173.556240 -244.317830
1658 1168 -99.117520 -450.912630
1659 1276 -447.999540 -181.140760
1660 1353 -241.596950 -442.791900
1665 1421 -13.320589 -389.720200
346 1625 255.334750 -428.496000
1677 1727 -413.898740 -312.459630
349 1730 371.221100 -77.256390
1018 1743 38.685577 -327.962600
1563 1771 70.638400 -252.380450
1711 1783 -376.061980 -283.570280
1145 1070 279.714320 97.844530
463 131 139.732820 400.272200
582 204 -63.759705 177.505480
1162 329 -360.955600 -192.244000
1725 493 354.863740 267.789150
1293 571 11.071562 -90.343765
809 612 306.072170 -93.019516
1156 629 -135.453610 271.003080
819 685 146.157680 -66.325300
1601 715 -124.873840 -463.346000
399 878 55.077606 72.432360
1753 980 -255.886280 108.860700
367 1267 -59.897430 -156.353070
908 1378 182.355740 -75.912094
370 1409 -154.629300 -286.818330
1431 1413 -118.980286 260.755280
371 1513 -229.056820 -437.625760
1740 1008 260.051060 65.236920
1744 589 -350.318020 -244.706830
656 1491 -104.535490 370.368560
15 1486 -143.751280 307.672940
1166 138 -81.775880 -1.124530
576 276 29.748442 -79.258960
927 470 350.319500 -106.451800
1183 574 180.020600 -66.810500
1596 1277 297.745820 96.658250
595 1575 17.303617 -434.165250
432 442 155.447780 -386.981630
1000 1037 195.978790 186.045820
1151 1094 495.888640 134.257860
1384 1601 -304.676300 -297.188870
1165 1619 110.757780 -123.704120
1483 195 -126.317660 -381.645230
1808 238 -245.569580 -412.339140
390 240 -172.813080 -291.500980
391 241 498.146400 123.217760
868 247 -439.859200 -218.488540
906 359 245.475130 -153.971240
1279 369 131.400970 473.963530
1371 873 -117.513460 -480.512600
1513 921 379.572480 -417.834050
1632 1017 -259.852450 282.530300
1441 1022 49.556244 -0.964954
395 1023 -468.182220 -237.355550
601 1200 143.966160 -71.214615
404 1278 -304.682530 374.551360
405 1408 105.159820 -314.370240
1851 1500 116.893460 376.865800
1582 1527 -2.898042 47.709940
176 1556 -456.490000 314.687840
911 1557 201.007600 -166.231770
412 1758 -399.757000 63.003094
703 1761 264.688200 97.610214
767 145 221.158170 -196.070420
1475 492 452.749730 94.197800
1871 602 474.904020 -79.736680
416 907 233.270050 -38.748920
418 971 220.354030 -31.560566
1186 982 406.306800 -118.474810
420 1539 -237.018430 -394.061220
1482 160 -169.433350 343.469760
1873 1729 -300.745180 -408.664580
588 851 -263.208600 1.765606
1722 178 434.189670 -250.407300
591 486 429.892360 -445.727100
1150 531 436.299470 100.881454
1454 684 -223.406310 -1.785083
1063 820 154.532930 188.106490
174 1814 251.319000 -394.040400
508 196 -336.606700 6.492657
834 197 470.284200 -30.449665
871 200 -474.717560 -162.004900
900 203 82.234770 -496.823030
952 217 63.215485 -276.037540
1081 218 -396.006960 -135.933270
1082 284 222.404270 271.396880
1083 453 289.957060 -145.186480
1094 777 465.806850 -18.683369
1099 898 406.919770 -496.045870
1100 1001 -303.404570 312.143830
1108 1384 349.053620 186.637560
1016 1474 29.593168 246.701220
1178 1747 -127.368900 -156.476430
909 182 344.084080 218.318590
1184 916 356.030730 -416.413670
1395 956 -57.998627 -130.289470
479 1676 397.802280 215.286060
456 187 308.350130 267.704740
1480 1897 254.042330 -459.387540
1508 579 -75.176240 -122.439070
932 735 -413.941220 -432.207500
1413 1291 322.922580 -187.463700
1594 239 -259.722260 150.993270
960 501 79.487335 -382.482420
866 1633 314.574250 -50.859913
724 1805 255.409580 119.952680
1182 206 78.684170 11.010418
832 207 -142.616120 -313.020420
1326 334 411.081020 -259.949220
469 448 262.917940 -435.434480
606 499 290.679230 469.904940
662 575 190.417700 -157.369980
1444 619 -461.050540 390.429780
1699 836 -280.982300 -10.456074
1700 842 446.511260 104.014570
1731 1063 66.926300 -169.942830
483 1084 137.992460 -336.691650
379 1085 322.408780 302.623320
1446 1086 29.922148 -456.000700
1464 1178 88.131805 325.253570
1763 1321 -481.348720 -359.921230
496 279 47.445220 -376.554400
1319 848 -401.229980 34.061993
497 858 -209.722660 429.398160
1365 959 457.219020 -9.073261
1791 1363 -153.326540 -451.364600
498 1364 214.267610 352.069300
1447 1375 -232.393680 408.328900
502 1717 -110.242096 264.367830
503 1739 265.541600 351.020360
1838 866 361.492460 -30.519886
511 205 -118.659610 -381.888800
1287 298 -447.633580 199.794170
1343 336 379.434720 179.399520
1459 667 333.825470 -420.012880
526 714 89.811490 -191.891040
1161 999 -334.546540 316.937840
1579 1576 -286.806600 -424.731660
1580 304 303.974030 375.778400
841 1699 -315.094180 242.964400
1561 213 9.674162 286.156770
1743 246 53.271393 -127.095110
561 321 -445.764600 -299.675630
589 387 -30.025759 334.892500
629 532 -8.814577 -166.550460
915 627 312.688630 299.224460
917 703 -411.342200 -43.402700
919 760 -335.633030 -272.302900
920 1054 -456.123870 184.106000
923 1289 -141.064120 -160.191790
924 286 99.753940 -100.371110
929 564 -430.252560 23.914043
930 584 -33.771423 298.898770
933 1594 -35.012480 187.512620
969 505 12.424589 -307.687260
1527 1282 283.342560 -403.511900
913 1854 40.467804 406.722800
961 225 293.578100 340.065640
1448 227 77.747770 353.357500
585 229 -6.714845 176.390060
657 230 31.654630 -412.411130
592 732 -425.100300 -336.944180
593 1013 -260.710400 476.297270
907 1778 -358.795000 157.579700
1274 1328 414.378880 409.877300
1350 787 -112.124420 484.721100
1061 808 244.593720 348.465180
596 1264 -12.775484 -189.278700
1768 659 424.708770 -124.241590
771 1074 205.167140 -461.057340
814 1209 224.505100 -151.162950
938 1295 362.515600 -152.941850
1597 1324 -214.946990 178.685290
1801 1351 112.069790 -177.149000
1804 1359 212.984340 -246.349660
806 1376 144.573640 23.851482
855 1470 199.591890 26.865948
893 1504 -140.545930 -314.550080
941 1525 -169.930570 328.705600
1467 1541 240.365260 -267.209170
1863 1608 467.933140 -463.379360
603 1629 160.908900 213.664900
604 1708 -399.359800 337.256440
1896 1718 112.505585 -237.217850
572 909 314.649440 -50.469500
570 958 394.242220 232.221790
607 1112 -368.357450 -157.606520
611 350 133.621980 -321.481100
1241 433 282.353420 -322.715730
612 935 117.496430 483.762600
1730 272 -379.571700 432.830000
1845 1247 304.059300 -493.756200
1346 838 285.966400 428.128630
1383 1555 59.633330 -194.395430
849 1610 -83.132780 -249.005970
1434 1732 -381.915500 -331.893500
1006 287 -324.162570 418.829130
1481 1028 -3.953279 369.547700
1294 261 -388.113220 452.334440
1515 647 -386.254430 356.523400
1535 989 -92.631500 -73.952590
1556 1298 169.057040 301.138820
1557 264 -124.902954 -25.253986
568 522 -108.458190 -210.053300
777 637 164.802400 -318.958650
1062 650 163.545930 244.796860
1095 651 14.155668 -252.979140
1197 653 -362.939240 41.447857
1238 661 -463.170500 -138.405960
1558 663 397.885600 -308.793580
1559 666 -21.469637 -284.768220
1562 676 432.739530 381.522800
1565 691 -408.330320 -314.921900
1566 692 -359.680020 133.385790
1567 693 280.314180 315.954130
1568 694 -106.094666 326.524020
1569 695 449.285250 -143.438520
1570 268 210.954320 367.835000
1571 468 -445.249400 275.232100
1572 720 -85.747860 -165.873300
1573 903 -301.618100 375.861050
1574 362 -220.491850 -492.828640
1575 496 233.124110 -137.803820
1576 1032 -444.090240 337.234700
1486 1066 -244.146700 457.450230
1633 1186 -81.010864 -479.342250
1051 1213 50.672820 476.237270
1645 1241 -130.738620 -442.267120
1646 1320 -483.674160 -432.873320
1647 1688 -174.556520 369.029940
1648 1741 362.179350 -303.355130
1692 1071 177.665860 291.491360
647 1627 389.459500 -170.653270
648 628 -136.060700 50.030193
770 1502 487.896330 173.614180
597 1126 -387.758730 -393.970860
1426 1193 72.661835 309.132350
1783 517 -149.061040 121.051865
756 292 -437.537930 -10.470478
1784 520 -68.134860 142.242300
668 1787 -343.129850 -77.542404
1635 580 233.217130 -484.697300
1738 1397 -390.536040 369.429780
1827 1549 -86.450900 461.603300
1828 550 -86.940674 -20.980762
1829 484 -426.519800 -282.107730
1830 1583 -185.695430 -130.437670
1831 705 -151.657530 -369.762000
1832 1175 -142.869200 -388.699620
438 384 2.843779 -381.750400
1484 1702 218.027310 422.931060
505 558 -72.077330 481.286160
775 1392 -59.161133 -406.169460
803 1535 -449.675700 -394.721650
1024 1548 304.757900 -129.253650
1320 438 -442.973000 246.951950
1848 570 466.411350 306.550500
1849 1019 -490.498840 -278.345730
901 1115 205.418000 -141.319200
1564 1228 -123.116030 -498.349240
1853 1274 72.519990 -153.812940
680 431 252.505100 -56.327473
681 435 490.366550 226.839650
682 759 34.798553 -392.341800
688 849 389.257170 -460.455600
1643 1517 151.490200 -96.949540
691 1762 -226.374110 272.349820
1048 937 -14.950960 104.668076
1244 1391 209.775670 362.618260
696 310 -482.255650 -382.908000
1705 390 -398.651030 -486.524480
1708 1011 -143.749270 -265.335020
1709 1120 -223.753420 19.438946
701 1171 -281.404500 43.620342
704 1736 347.182770 -165.834400
708 1075 170.343780 43.518536
450 348 27.792997 -315.450160
710 412 -117.730560 -472.915250
1295 490 87.185394 137.939320
1389 491 448.359950 -249.295460
271 506 -91.945465 -336.972900
320 507 -149.144260 452.248200
455 421 -323.047270 -109.983020
524 455 -11.873568 328.560200
532 458 80.039825 471.947540
1027 643 291.537320 -328.138520
1084 728 -496.389470 176.601120
1283 1007 -150.939000 482.479280
1297 1044 -354.077360 97.210010
1487 1047 126.241120 -475.269260
1488 1073 -364.671260 160.215010
1490 1164 329.216340 473.453030
1491 1347 -280.561860 429.617280
1492 1537 -310.135350 -489.416000
1493 941 341.013820 60.004740
1494 1243 469.728730 474.364230
1495 1292 -51.464570 134.124740
1498 552 277.236240 -61.856495
1499 581 202.835540 35.910442
1500 364 371.828340 401.439300
1501 1442 335.943020 456.161220
1502 793 -11.036074 112.809740
1503 1268 294.244900 -394.386440
1504 1462 361.565950 -87.734240
1505 1848 -44.697296 -281.070700
1612 1242 36.329865 -119.636400
1614 946 146.138400 473.166840
1049 947 287.414150 -488.219450
1174 1058 410.528720 -484.409420
1619 1734 -84.613556 -406.907320
1716 655 473.826080 -101.788376
1440 436 485.897600 -42.363850
1525 872 136.048370 -149.757160
1792 1358 110.410430 -185.251450
1793 1722 -112.541380 -15.309254
1794 1772 200.409640 406.350250
1796 816 -114.419920 -268.405670
735 1484 236.871000 330.740330
737 363 58.570526 -482.038300
742 939 488.371200 -8.354908
743 604 7.105315 -26.757160
1373 736 -215.931670 279.971700
754 568 65.394990 229.217330
885 1617 -98.111850 -223.616500
1607 789 351.690830 204.464220
765 461 -132.401030 474.727140
1741 508 -110.392880 -383.880460
1608 1377 477.063500 269.506870
776 1529 -86.183290 345.418120
1673 425 -348.196080 225.013600
1766 812 287.151580 -301.447100
1533 737 -182.879330 -50.617725
1374 882 -449.132140 50.676006
1173 467 352.355870 233.764080
789 1630 -494.188900 338.403960
818 1660 304.493740 484.964080
1403 870 379.443450 -125.021620
1369 1516 -20.857882 379.309480
800 471 -427.828250 2.273022
1701 1836 -272.958340 -403.822720
1712 444 -303.858000 165.127180
1713 572 229.598790 451.524380
928 613 120.641570 96.023670
817 747 -146.457760 -255.072400
1719 776 -479.522220 -68.080215
1758 887 192.653230 158.053700
825 888 -12.821505 250.077680
1539 889 -256.378500 98.145980
836 890 107.584625 206.030620
837 891 -226.569640 -32.974230
870 892 40.384490 184.360030
1812 894 -172.723660 454.272430
1826 895 28.363554 -368.253020
853 896 -1.120241 -397.340730
1817 897 -27.379091 31.801922
862 900 39.144867 74.586716
1598 902 -335.269200 302.464750
1837 904 -385.521100 260.168550
856 905 23.802763 249.306260
859 910 -457.318050 -389.209440
861 911 217.622040 91.851180
1032 1416 -367.830100 -143.624920
1053 1201 -139.472960 495.083340
1056 1250 -170.604280 -429.750500
1057 690 -424.591200 -15.420216
1058 1350 -260.315250 -117.569500
1059 1737 83.191864 101.262560
878 1024 228.301360 10.299114
1734 423 -359.615330 160.544720
879 426 -268.583220 -324.942100
883 1680 83.762790 20.685467
1611 1700 110.748380 403.022550
1672 1720 -39.024475 -163.539840
1021 1319 370.992900 172.717390
1433 562 226.842070 376.788060
1819 1064 325.777620 -138.094310
1820 987 -232.668180 118.751450
902 510 345.704500 473.101900
1412 1369 -423.302580 -4.522693
1106 1668 -348.835330 171.775440
1248 457 -242.041690 371.643520
1344 608 222.951930 -241.629650
1052 742 -357.093170 -452.091520
937 1638 295.304900 313.429050
1671 469 235.037500 -145.645980
922 748 -431.140140 404.523400
925 1010 -132.725130 183.069750
935 537 -264.902340 424.358250
936 914 436.103240 -368.704220
1875 951 -360.780980 341.328900
940 1679 -175.322450 -220.919780
1451 1786 424.985020 386.976960
1452 821 159.720860 9.196819
1773 1273 302.910800 -20.797352
1030 526 360.491600 192.107400
1348 1674 162.301420 485.757100
1352 485 32.829376 5.042157
1353 1860 107.971405 269.450900
1357 1367 137.264370 131.810780
1358 869 144.090730 -175.320420
1359 1135 17.403349 -401.254550
1360 1293 -349.549130 -285.718630
1361 1233 313.280730 -457.782680
1522 1562 0.546995 446.406160
749 1740 4.089201 -225.544900
1249 723 -343.775900 392.988000
1250 1398 325.683320 -383.064580
1652 709 340.234650 344.579300
1683 1048 -409.527070 -395.597530
1684 1065 435.909820 320.716770
1685 1588 0.802183 -172.386370
1686 1536 -407.755100 -189.344740
1687 1830 391.635770 -120.802320
1690 524 -376.946500 -293.782000
980 565 464.349950 -405.450040
982 791 180.444670 -193.322860
991 875 480.653400 38.479168
1192 1114 355.730800 -75.008255
1008 1566 -425.860700 478.358600
1013 1592 314.973480 305.394440
1014 1635 -193.304470 405.823940
1019 1817 311.727750 274.232880
1020 1818 -152.021420 21.599834
1391 1819 -63.854156 -210.865160
1811 1820 -311.618740 -18.176044
1034 1821 257.453640 -174.018720
1040 1822 109.401580 -380.720250
1514 1823 -404.086100 348.834500
1042 1824 -269.952200 299.235260
1047 1825 20.743132 -55.116140
1814 1826 323.888640 47.125652
1023 1827 312.048200 74.633770
1088 1811 -241.412450 94.106550
1458 1240 47.704010 286.975200
1071 1581 348.233800 -473.456480
1724 1671 -319.808870 -320.556430
1715 539 -371.489600 -203.207530
1101 729 -46.233580 345.881740
1104 1348 -434.283540 455.164460
1115 1443 -221.059050 -453.110380
1107 1634 -7.112764 96.758770
1537 1177 -270.910250 -137.142840
1604 1750 -370.268830 181.884810
1772 763 -346.878750 -354.959840
1541 885 387.831400 85.085070
1149 1602 -491.515840 -332.945830
1153 1210 -211.465940 455.308000
1172 1212 410.392900 -2.676319
1202 1678 228.173610 -271.428500
1276 804 66.002290 -237.560230
1281 622 -486.239100 424.493070
1159 1038 216.364960 -347.957370
1163 660 -438.012800 -320.643950
1167 1179 444.357400 -272.240840
1169 1290 405.373380 320.916660
1175 1303 -276.640700 341.890100
1181 1454 -318.380200 -326.052150
1102 1862 379.325100 -254.043880
1865 722 -404.309940 200.554610
1866 1503 -282.012420 274.874540
1194 1478 -61.112854 25.583477
1742 1764 429.283360 -170.545670
1203 623 125.157620 374.989650
1204 962 22.694487 -251.940260
1855 854 362.086270 -36.187520
1856 772 -29.951448 57.707440
1206 1544 12.519621 410.450840
1883 630 -63.575043 -474.473720
1208 662 -77.516390 -174.782330
1584 775 465.162930 -106.577040
1749 945 -7.962038 -176.308120
1844 1523 -250.428710 171.959820
1216 631 -452.065670 349.177340
1217 633 -328.209930 -106.132950
1223 744 140.424470 -146.386610
1577 1300 118.355865 -216.726490
1347 1370 231.289400 -417.424900
1242 1492 -307.625520 383.655980
1243 648 -133.862610 -62.463245
1307 756 333.806500 -194.329790
1316 656 -168.753700 147.363630
1257 664 32.221527 -94.559340
1265 665 -16.299532 -228.965320
1272 668 -229.519620 -115.449050
1282 670 413.300380 -125.111280
1354 671 73.154144 -485.109600
1422 672 -154.299960 80.225140
1423 1479 50.092438 -65.324200
1425 702 228.451690 60.879925
1550 1773 -376.597560 236.382610
1292 1877 -244.883330 485.435330
1298 1095 -294.795000 -127.016710
1300 1574 -322.674770 -154.986160
1301 936 453.882170 245.803820
1302 696 130.647250 85.140976
1303 1076 378.134860 -294.524900
1737 1631 -142.640440 468.956570
1308 1774 -18.980715 -403.131100
1309 1864 147.674650 -360.912080
1312 1374 -159.766540 -90.428330
1322 813 -459.279270 416.791050
1688 1067 -493.724600 -442.634900
1338 1195 -172.460200 479.502600
1340 1257 366.697360 303.345250
1146 1400 -319.402620 -308.263550
1362 803 -327.468400 -128.274190
1370 1219 -202.226100 -470.703770
1777 1531 252.064240 -156.963150
1375 1382 -206.466310 -266.935200
1881 1327 47.486298 -483.658170
1379 1868 195.946010 56.170820
1836 1898 -498.448430 40.262920
1553 717 -184.544070 -272.878140
1196 718 -5.776460 -235.984660
1392 750 439.782930 41.531536
1398 751 -16.606142 -59.681570
1399 1165 279.049160 316.358430
1406 1263 239.108000 -376.036700
1407 1311 -163.783170 293.113000
1411 1441 -422.665920 -147.017960
1415 1476 -89.859470 -39.722310
1417 1528 -202.837400 -26.223500
1419 1661 252.017670 -319.775180
1669 867 104.426970 277.230380
1438 730 -9.255281 452.205660
1443 1306 165.085720 -50.259754
1450 745 318.666350 120.523300
1455 1593 73.309050 -288.732900
1613 1287 86.428560 345.790740
1618 1515 -57.936310 411.923200
1626 1550 -105.875150 197.215130
1627 1025 -471.907680 289.272860
1628 1705 -14.349153 295.137970
1629 786 288.534520 -449.559400
1630 1490 -245.840760 -464.400570
1631 1446 -466.962200 436.283360
1460 1230 -51.266937 -437.514430
1463 796 -116.939820 -50.701984
1468 1464 -264.127300 317.854520
1469 1465 79.165070 -17.399830
1479 1466 -385.881840 197.328480
1891 1471 287.462740 -325.778260
1489 1473 -193.896030 -435.024570
1506 1475 447.953950 429.142600
504 807 159.572850 -359.103670
1275 1494 -119.619200 200.882550
1516 925 -222.652470 64.768845
1517 1305 317.295140 305.144930
1518 981 -434.009800 -240.108170
1520 1199 -230.597290 249.918560
1524 829 -356.147400 74.810840
1528 1222 144.845180 -190.393900
1534 826 81.448580 -436.605000
1536 827 341.932900 -154.836260
1542 877 -239.443910 179.275010
1893 880 -386.057460 177.898790
1544 1057 233.182950 106.840805
1547 1245 364.946750 161.488200
1548 837 337.506620 -71.464096
1839 1077 177.241300 464.942600
1551 1424 -14.874575 336.975620
1552 1553 -206.208220 -21.343342
1555 1606 -27.564913 140.454700
1578 1834 -16.782045 -313.650900
1590 1835 -111.329620 -118.301346
1600 845 -299.810240 -192.389020
1602 1872 194.129060 -7.746601
1728 1090 -279.291720 -491.056300
1615 1361 324.321560 38.695232
1617 1611 -20.403109 5.583539
1622 906 239.266140 281.883700
1623 976 166.630160 -67.928085
1634 1893 181.876190 466.767850
1638 1448 -251.921570 446.447240
1639 876 -464.636870 487.796420
1640 1218 472.048740 -348.905200
1649 918 -423.196620 333.770720
1815 1514 -411.146640 -437.291300
1651 1687 -387.502530 -493.981660
1653 1096 471.739840 44.481304
1654 1035 450.472140 -74.944690
1655 1396 58.666046 -174.449170
1656 1422 416.456500 193.442430
1661 1204 -447.591370 -24.097553
1662 968 151.886500 -33.668232
1663 1725 114.140530 -20.669544
1667 1867 245.971590 96.237410
1668 972 -135.281000 -147.265210
1676 1697 348.582180 164.853560
1680 979 368.274080 -403.061370
1682 1003 -213.307400 -7.716419
1691 1012 -85.709750 -367.621860
1693 1696 -135.656740 -277.169400
1694 1889 337.226230 -227.571670
1735 1894 -35.440460 126.540634
1695 1194 -183.182560 -282.204800
1697 1567 291.393040 -173.021710
1698 1766 87.559540 17.316570
1702 1716 -408.772520 268.253500
1703 1746 -247.528630 -66.321850
1707 1030 474.716640 368.107400
1717 1109 -55.912170 -323.032680
1721 1605 24.200773 -31.096363
1726 1166 404.734770 24.648785
1729 1632 216.171300 394.662260
1732 1330 168.489230 433.461200
1748 1881 314.333280 -350.189900
1751 1061 418.830600 366.899440
1752 1455 -203.959930 54.112470
1755 1082 -231.161010 -288.641940
1756 1087 -436.649800 398.288850
1757 1088 164.899080 -165.320850
1764 1089 159.686250 26.105267
1767 1170 -149.780430 52.758830
1769 1160 464.048200 -398.725500
